keyword,edited_text,is_euph,category,type,euph_status
collateral damage,"Friendly: A mass murdering Serial Killer with no understanding of right and wrong, and a severe case of OCD over numbers. Guess who's the only character in Monza's party not to betray anyone else's trust in any way, or commit any murder of innocents, or cause any other form of <collateral damage>? And guess who saves Monza's life from the ally she had trusted most at first? ",1,death,collateral damage,sometimes_euph
armed conflict,"As a matter of law, a war exists whenever one state uses armed force against another, regardless of the scale or duration of the conflict. When this happens, something of considerable legal significance does occur: the law of <armed conflict> begins to govern belligerent relations between the states. But this is a wholly conventional phenomenon and there is no reason to suppose that what is sufficient to activate a certain body of law automatically activates a different set of moral principles as well. ",1,politics,armed conflict,always_euph
indigent,"of counsel to the <indigent> at the time of interrogation while allowing an attorney to those who can afford one would be no more supportable by reason or logic than the similar situation at trial and on appeal struck down in Gideon v. Wainwright, 372 U. S. 335 (1963), and Douglas v. California, 372 U. S. 353 (1963). ",1,employment,indigent,always_euph
people of color,"Other cities and states-- such as Chicago, Louisiana and Maryland-- have seen more <people of color> impacted by COVID-19, even after those numbers are adjusted to the states' particular demographics. In Michigan, black patients have accounted for 40% of deaths despite African Americans making up only 14% of the total state population, according to ProPublica. ",1,physical/mental attributes,people/persons of color,always_euph
dismissed,"He has misled a number of journalists on the lifestyle technology beat, including bloggers Emi Kolawole at The Washington Post and Doug Aamoth at Time. He was <dismissed> from his part-time @ @ @ @ @ @ @ @ @ @ he caused the institution. Sometimes I wonder if the whole thing is some kind of postmodern performance art project, designed to show up the shortcomings of digital-age journalism! ",1,employment,dismissed,sometimes_euph
undocumented workers,"If it's hard, manual labor, Americans expect to be paid well for it. Companies that hire <undocumented workers> are unwilling to pay a legal wage for the work. They'd rather pay less and hire illegally than take a cut to their profits by paying an appropriate wage. ",1,politics,undocumented workers,always_euph
fatalities,"Prior to the assault, the surrounding countryside had also been liberated by Polish and Soviet partisans. Cooperation ended almost immediately after the liberation of Vilnius; on July 14, Krzy'anowski and his officers were disarmed and @ @ @ @ @ @ @ @ @ @ violently crushed by Soviet forces, with dozens of Polish <fatalities>. ",1,death,fatality,always_euph
regime change,"Today, we have both military and political stalemates in Libya. The international community, particularly those countries that have advocated <regime change>, seem to have underestimated the resolve and determination of Gadhafi to cling to power. The Colonel, unlike former President Mubarak of Egypt, has decided to stay and fight for his survival. ",1,politics,regime change,sometimes_euph
troubled,"A resident looks through a window at Andover Subacute and Rehabilitation Center in Andover, NJ, on Sunday, April 19, 2020. When the coronavirus outbreak hit one of the largest and most <troubled> nursing homes in the Northeast, coughing and feverish residents were segregated into a wing known as South 2. The sick quickly filled the beds there, so another wing, West 3, was also turned into a quarantine ward. ",1,physical/mental attributes,troubled,sometimes_euph
economical,But not one of these bright lights considers that the root cause might be something entirely different from all the usual neoclassical suspects. Not one considers that the actual cause of this debacle is the fact that less real physical (<economical>) work is being done because there is less net energy available with which to do it. The debt was definitely a factor in the rate and severity of the collapse since debt since at least the 1970s has been built up against a presumed future of production sufficient to pay back both principal and interest.,0,employment,economical,sometimes_euph
overweight,"Healthy diet is not only about restricting self towards food which is unhealthy but eating a balanced diet which comprises of all the necessary nutrients which also includes adequate amount of water. An unhealthy diet is a major risk factor for a number of chronic diseases including: high blood pressure, diabetes, abnormal blood lipids, <overweight>/obesity, cardiovascular diseases, and cancer. It may be easier for such a person to transition to a healthy diet if treats such as chocolate are allowed; sweets may act as mood stabilizers, which could help reinforce correct nutrient intake. ",1,physical/mental attributes,overweight,sometimes_euph
undocumented immigrants,"Not to be outdone, Sen. Rand Paul (R-Ky. ), son of Rep. Ron Paul ( R-Texas) and heir to his father's libertarian following, is now on the record exploring a run that will focus heavily on returning power to the states. In a post-election interview with POLITICO, Paul said he wants to find common ground with liberal Democrats on softer marijuana laws and help create an eventual pathway to citizenship for <undocumented immigrants>. ",1,politics,undocumented immigrant,always_euph
over the hill,"I think seven seasons is about the right lifespan for a TV series, ""he says of a show that launched its tenth season last month."" I talk to @ @ @ @ @ @ @ @ @ @ secretly hoping for them to say we're done with it. There are plenty of people who say the show is kind of <over the hill>... but still the vast majority go pale in the face when I mention the possibility. ""As he sees it, there's something to be said for wrapping up the series and doing a movie once every couple of years."" Creatively, that would be the way to do it for me.",1,physical/mental attributes,over the hill,sometimes_euph
between jobs,"Ironically for a Nintendo gamer, he has a @ @ @ @ @ @ @ @ @ @ accurate portrayal. He's currently <between jobs>, but if you'd like him to write something for you he can be contacted at cieran@pixelgrater.com.",1,employment,between jobs,sometimes_euph
senior citizen,Shooting unarmed American while handcuffed or tasering <senior citizen> while confine to a bed on oxygen. Is a America law enforcement out of control!,1,physical/mental attributes,senior citizen,always_euph
developing country,"Under these circumstances, at the same time as striving for the survival and development of their own people, developing countries must also give priority to solving the problems of local ecological damage, environmental pollution and technology progress. As the largest <developing country> located in Asia, where energy resources are most expensive and scarce, China is paying more and more for energy resources for its @ @ @ @ @ @ @ @ @ @ as the basic energy resources. "" ",1,politics,developed/ing country,always_euph
undocumented immigrants,"This was made abundantly clear as I visited, confronted and came to terms with Ellis Island. As one of the country's 12 million <undocumented immigrants> who call this country home, walking around the country's first immigration station was a deep, sobering experience. It was a reminder of why immigration must remain the purview of the federal government, not individual states like Arizona and Alabama. ",1,politics,undocumented immigrant,always_euph
deceased,"Such desperate circumstances would cause many to do things they would otherwise never even consider. I don't know for a fact, but I bet the <deceased> were stripped of any jackets, blankets, possibly even socks and shoes @ @ @ @ @ @ @ @ @ @ do the deceased any good. ",1,death,deceased,always_euph
sleep around,"I would too, just as I would for any other girl I might come in sexual contact with, prostitute or not. Because there are a lot of people who <sleep around>, the only difference is they don't get paid to sleep around. So unless money is what transmits the diseases I would have anyone checked out following that logic. ",1,sexual activity,sleep around,sometimes_euph
physically challenged,I am not a heavy packer and could fit everything into one large suitcase but I prefer to take two small bags that I am able to lift. This is discrimination against <physically challenged> people!,1,physical/mental attributes,physically challenged,always_euph
deceased,"""I was pulling some boxes out of my truck and right in front of my truck I heard about five gunshots, "" another witness told CBS station WINS-AM. "" I turned around to the left and I saw a man lying vertically with @ @ @ @ @ @ @ @ @ @ I just asked one of the folks who was running by me what had happened and they said' someone was shot,' "" Sid Dinsay, a former New York City Office of Emergency Management official, told CBS station WCBS-AM. "" Take a few more steps down the block and there was a <deceased> person on the sidewalk, apparently the victim of gunshots and lifeless and just lying there."" ",1,death,deceased,always_euph
sex workers,"Risk compensation is the notion that individuals modify their behavior in response to real or perceived changes in risks. Pinkerton has defined risk compensation as ""any behavioral change that acts to offset a reduction in risk resulting from other changes"". 7 Risk homeostasis theory has been used to describe this phenomenon. 8 Accordingly, sexual risk compensation in the context of MC is characterized by someone knowing that they are less likely to contract HIV and responding to this reduced risk by increasing behaviors associated with greater risk of HIV transmission, such as not using condoms, increasing the number sexual partners, increasing the frequency of higher-risk sex (e.g. anal sex versus vaginal sex), or increasing the frequency of sex with high-risk partners ( e.g. <sex workers> @ @ @ @ @ @ @ @ @ @ have been used interchangeably in the public health literature. The concept of sexual risk compensation implies that a change in potential harm has occurred and is in turn being countered by a change in one's level of risk behavior. ",1,sexual activity,sex worker,always_euph
latrine,"Besides, just because a lily pad base appears to be the opposite of huge Ramstein or other city-like military bases in Germany and in the USA home territory itself doesn't mean that what begins as a lily pad in Bulgaria will not quickly become small towns as well. Soldiers have to be offered comfortable living conditions, which means bars and shops and eating places and medical facilities and private rooms for many; it means no <latrine> cleaning and kitchen police jobs for soldiers; locals do that for low pay. Soldiers today demand to have their families with them, which means apartment blocks and private cars and schools and hospitals.",1,bodily functions,latrine,always_euph
pro-life,"Santorum is against birth control, but he never said it should be outlawed. Besides, no one in their right mind thinks @ @ @ @ @ @ @ @ @ @'s just like a president being <pro-life>. No president has the power to outlaw abortions. ",1,politics,pro-life,always_euph
demise,"In Atlas Shrugged, the story is of a world much like our own. It shows how government intervention in social conscious can lead to our own <demise>. I think we can all agree that the government can go to far. ",1,death,demise,sometimes_euph
well off,"The main difference is that in developing countries, the demand for populism is active both in bad and good times but has more chance of being satisfied-- and @ @ @ @ @ @ @ @ @ @ times. In developed countries, most people are <well off> most of the time, and can sustain their consumption needs easily. But when protracted bad times hit and their consumption habit is threatened, the siren of populism may becharm, as Italy's story teaches us.",1,employment,well off,sometimes_euph
ethnic cleansing,"Did you meet any Palestinians at the gig? Israel subjects the Palestinian people to apartheid, war crimes, occupation, <ethnic cleansing>; it isn't ""often reprehensible"" treatment, it is always reprehensible treatment. You were informed about this but @ @ @ @ @ @ @ @ @ @ am so disappointed, as a supporter of Palestinian rights, I am disgusted. ",1,death,ethnic cleansing,always_euph
exterminate,"The crippled scientist begs them to have pity, but that word is not in the Daleks' vocabulary. Davros then screams in agony and tells the Daleks that they must and will obey him. @ @ @ @ @ @ @ @ @ @ decides to destroy the Daleks by pressing a red button, but the Daleks see what he is doing, and they <exterminate> him. The lead Dalek proclaims that, despite their entombment, this is only the beginning. ",1,politics,exterminate,sometimes_euph
underdeveloped,"He had been close with a car that was already overreaching. One year later, competing with an older and <underdeveloped> car, championship points couldn't have seemed.... ",0,politics,underdeveloped,sometimes_euph
slim,"But the political atmosphere has changed. It's clearer than ever that the public is fed up with partisan paralysis and, by a <slim> but decisive majority, favors Obama' s balanced approach to deficit reduction. ",0,physical/mental attributes,slim,sometimes_euph
plump,"The family of nine live in a two-room apartment in Beirut's southwestern district of Sabra, one of the poorest and most densely populated areas of the Lebanese capital. The rents here are cheaper, and Umm Mundhir, a <plump> woman in her mid-30s, has never heard of the UNHCR. None of her children go to school, and though she is worried about their health, she can not afford a doctor. ",1,physical/mental attributes,plump,sometimes_euph
passed away,"My dads house had a ghost.... it would turn off and on lights on occassion, open the basement door if it was closed, messed with pictures by turning them just enough to drive a person crazy enough to fix it then they would unstraighten them. I had a dream about my MIL after she <passed away> that was sooooo real i still felt the big hug she was giving me when i woke up. I do nt feel ghosts will hurt ya but i do nt feel they r very real lol. ",1,death,pass away,sometimes_euph
indigent,"However, most social workers are added to defense teams composed of public defenders representing <indigent> clients. Consequently, there is a risk that social workers' role will be restricted because of misconceptions about the full range of their potential as defense team members. ",1,employment,indigent,always_euph
overweight,"Ian McKellen: There Will Be No More Actors Like Myself ""McKellen suggested that there would be no more actors to match the likes of himself and Judi Dench in the future because the experiences that challenged and moulded them were no longer in such fruitful supply. "" The Telegraph @ @ @ @ @ @ @ @ @ @ London Show? The closing of Loserville, playing in London was "" almost entirely due to those slightly <overweight> white, male, middle-class critics in their late-50s who closed it."" The Guardian (UK) 11/16/12 ",1,physical/mental attributes,overweight,sometimes_euph
disadvantaged,"In this role, he oversees the administration of the Office of Elementary and Secondary Education (OESE), comprised of approximately 275 employees and charged with implementation of over 50 grant programs designed to promote academic excellence and enhance educational opportunities for elementary and secondary school students. Yudin leads efforts to help ensure equal access to services leading to improved outcomes for all children, particularly educationally <disadvantaged> children. In addition, he is committed to building partnerships with state and local leaders and ensuring they have @ @ @ @ @ @ @ @ @ @ of teaching and learning in America's classrooms. ",1,employment,disadvantaged,sometimes_euph
let her go,Even though they are on separate ships it all still goes wrong @ @ @ @ @ @ @ @ @ @ Shaw manages to walk straight on to another ship and took off so I'm guessing the same happened to them ). Also if they really were intending to destroy humans (again only implied by character) then why did that engineer go after Shaw at the end when he <let her go> previously? Surely he would have just boarded another ship and continued on with his mission?,0,employment,let [pro] go,sometimes_euph
intoxicated,"He gropes kind of wildly at the space beside him. He's not sure what he's looking for but a few gallons of water and a dozen packets of painkillers sound really fucking good right now and, as long as he didn't manage to piss Sam off last night while <intoxicated>-- and if he did he really hopes that Sam's not being a bitch about it-- the kid has probably been awesome and left something that will make him feel less like the living dead on the bedside table for him. Sammy's good like that. ",1,substances,intoxicated,sometimes_euph
lay off,"Ummm, economy collapsing, re-election campaigns, Obamacare, ending DADT, and yeah, Shyne. Please @ @ @ @ @ @ @ @ @ @ I'd wish you'd <lay off> the political blinds, for both parties. It just adds nonsense on top of the already steaming pile of nonsense that is the political arena. ",0,employment,lay off,sometimes_euph
people of color,"Perhaps most interesting in the white anger here is the passionate and repeated invocation of the feelings and livelihood of white folks, which apparently is what gives weight to a discussion about the rape and abuse of women of color (""now that you're talking about white careers, it's serious!"") whereas the feelings, livelihood, and indeed safety and survival of women of color are basically not even on the white liberal radar screen (""BFP's livelihood'what's that?""). White folks often have a hard time understanding that this entire subject is life-or-death serious to <people of color> from the get-go, not a progressive ideological abstraction like in the minds of whites, but a grinding daily reality fraught with concrete peril every bit as real and personal and emotional (if not more so because of its immediacy and violence) as the perceived impugning of a white person's reputation. ",1,physical/mental attributes,people/persons of color,always_euph
mixed up,"The difference was that Clinton lied to a grand jury and prevented Paula Jones from having her day, AS A U.S. CITIZEN, in a court of law. Clinton is a sleezy dirty man and should have known better than to get <mixed up> with a girl of 22 years of age. Disgusting and a showing of poor judgment. ",0,physical/mental attributes,mixed up,sometimes_euph
wealthy,They don't vote on the side of working people when times get tough. Too many Democratic politicians have also become slaves to the <wealthy>. Then they use the sly operatives in the DSCC and DCCC to fool union workers to do the grunt work when in the end it's the wealthy who prosper.,0,employment,wealthy,sometimes_euph
less fortunate,"Contrary to conventional wisdom, there is currently enough food available @ @ @ @ @ @ @ @ @ @, it's not distributed efficiently. Some people get far more food than they need, and even waste a lot of it, while <less fortunate> folks go hungry. I invite you to think about whether you might have a metaphorically comparable situation in your own life, Cancerian. ",1,employment,less fortunate,always_euph
indigent,Another Democratic would have sponsored expanded healthcare for <indigent> children. President Bush didn't need Ted Kennedy to pass No Child Left Behind.,1,employment,indigent,always_euph
custodian,"For example, Connecticut law states that the determination of the best interests of the child shall not be based on the consideration of the socioeconomic status of the birth parent or caregiver. Delaware prohibits courts from assuming that one parent, because of his or her sex, is better qualified than the other parent to act as a <custodian> or primary residential parent. Idaho does not permit discrimination on the basis of a parent's disability. ",0,employment,custodian,sometimes_euph
inebriated,"I suspect it might have been both. I suspect that the man in the elevator (perhaps too <inebriated> to be thinking clearly), made what he thought was an innocuous proposition, and perhaps you, quite naturally from your perspective and past, interpreted the proposition as at best rude, or even threatening. ",1,substances,inebriated,always_euph
overweight,"Rod Hall, an analyst at JPMorgan, has concerns for the company's performance in the year ahead: ""To be clear, we're not making a call on (fiscal quarter) FQ1' 13, but do believe FQ2' 13 guidance is likely to disappoint and expect 2013 to be a tough year as macro pressures persist."" Mr. Hall recently lowered his rating on the stock from <overweight> to neutral. Cisco is generally seen as a leading indicator for global IT spending as a result of its extensive reach and customer base. ",0,physical/mental attributes,overweight,sometimes_euph
collateral damage,This is very very bad; that we have a CIC that will relieve field commanders for doing the right thing. I guess we are supposed to consider our Benghazi dead as <collateral damage> to BO's foreign policy.,1,death,collateral damage,sometimes_euph
accident,"As the New York Times reported, an employee by the name of Jdimytai Damour got caught amidst utter chaos in a stampede on Black Friday, resulting in his ultimate death. Sources say that Damour was literally trampled to death by crazed shoppers, although no specific individual could be called out and held responsible for the fatal <accident>. Wal-Mart was also slapped with a $75K fine, according to the New York Daily",1,misc.,accident,sometimes_euph
inner city,"My old roommate is a high school teacher in a PG County high school just south of DC. He used to say that his work really drove home the point that ""<inner city>, "" especially when used to describe schools, is just a euphemism for "" poor students of color."" There is nothing at all urban about southern PG county, but demographically and performance-wise it was the stereotypical inner-city school.",1,politics,inner city,always_euph
late,"The strikes aimed to degrade the group's ability to conduct future attacks against U.S. and coalition forces, the Pentagon said in a statement <late> Thursday. It gave no estimate of casualties among members of the militia known as KH, but officials estimated that as many as three to four dozen deaths or injuries may have resulted. ",0,death,late,sometimes_euph
indigent,"Poseur is willing to sell us out to the highest bidder. It was you who placed the offensive reference in this discussion-- the word used to mean an <indigent> person, until the PC police changed it. The only people using ""N"" are those who claim to be profoundly offended by its usage. ",1,employment,indigent,always_euph
economical,"It was expensive, but it would last most of a period if you were careful. They were <economical>. They were delicious. ",1,employment,economical,sometimes_euph
developing country,"Among the topics they consider are the importance of Knowledge Transfer from universities to the market and, @ @ @ @ @ @ @ @ @ @-- and the institutional infrastructure that is necessary to maximize the potential of Science and technology. In doing so, the authors provide unprecedented theoretical and empirical contributions to the study of nanotechnology, and, more generally, insight into the complex business, political, and cultural environment that must be established in order for such an industry to thrive in the context of a <developing country>.",1,politics,developed/ing country,always_euph
rear end,"Long minutes later, the goose reappeared first, flapping wildly skyward. Attached to its <rear end> was Keta, only her hind feet hitting the snowy ground as she guided the feathered propeller toward us. ",1,physical/mental attributes,rear end,always_euph
advanced age,"Sir Joseph, once a partner in a successful law firm, ran for a relatively safe parliamentary seat, a ""pocket borough"" being controlled by a single wealthy individual who had the seat ""in his pocket"" because he directed how a handful of electors would vote. Such seats were effectively wiped out @ @ @ @ @ @ @ @ @ @ suggest that Sir Joseph is a politician of exceedingly <advanced age>! ##39802",1,physical/mental attributes,advanced age,always_euph
lay off,"And didn't you hear what the doctor said about why your tork is orange, cheetosdyk. Got <lay off> those things cheetosdyk. Tork the dork. ",0,employment,lay off,sometimes_euph
aging,"First, and foremost, is simply the fact that the pool of nurses inevitably follows the general <aging> of the nation. As baby boomers who once filled the halls of healthcare institutions caring for others begins to age, they will certainly have a more difficult time meeting the demands of current healthcare. ",0,physical/mental attributes,aging,sometimes_euph
capital punishment,"What happens, however, if a person's erroneous conscience is at odds with the moral teachings of the church? This problem has obvious implications for how the faithful respond to church teachings on contraception, <capital punishment> and war. ",1,politics,capital punishment,always_euph
same sex,8 years since James Johnson was wrongfully incarcerated 6 years since John Menier'was wrongfully incarcerated One year since Troy Davis was murdered by the state 4 months and 11 days since the shooting of Trayvon Martin 4 months since the secret documents revealed by the National Organization on Marriage that they started the <same sex> marriage fight not for moral reasons but to split the black and LGBT community in order to defeat President Obama We have been through too much and seen too much and fought for too @ @ @ @ @ @ @ @ @ @'s why you're here,1,physical/mental attributes,same sex,always_euph
fatality,"The Israeli policy of punitive counterattacks (or state terrorism) seems to be to try to kill anywhere from 50 to 100 Arabs for every Jewish <fatality>. The devastation of Lebanese refugee camps, hospitals, schools, mosques, churches, and orphanages; the summary arrests, deportations, house destructions, maimings, and torture of Palestinians on the West Bank and @ @ @ @ @ @ @ @ @ @, the scale of material loss, the physical, political and psychological deprivations, have tremendously exceeded the damage done by Palestinians to Israelis. ""Edward Said, "" The Question of Palestine."" The U.S. Government and media bias on terrorism in the Middle East ",1,death,fatality,always_euph
experienced,"In terms of demographic data (see Table 1), the respondents range in age from 40 to 74 years, with the average being just under 53 years. These respondents are nearly 11 years older than Canadians who served in Vietnam with the U.S. military, (n11) the major reason being that the peacekeeping forces were largely composed of older, <experienced> career officers and enlisted personnel. Of the 89 officers (74% of the sample), 47 (53%) held the rank of major or higher while in Vietnam. ",0,physical/mental attributes,experienced,sometimes_euph
underprivileged,"Most of the Alawis live in Syria, where they form some 12 percent of the population. Once a marginal, rural, <underprivileged> community, Syrian Alawis have undergone a dramatic transformation in the past twenty years as members of the community advanced through the army and the Ba'thi party to positions of dominance (including the current President Hafez Assad). ",1,employment,underprivileged,always_euph
overweight,"About two-thirds of Americans are <overweight> now. That includes those who are obese, a group that accounts for about 36 percent. ",0,physical/mental attributes,overweight,sometimes_euph
weed,"In addition to the aforementioned, I say that we legalize <weed> from sea to shining sea. Wait... not just weed but acid. ",1,substances,weed,sometimes_euph
pro-choice,"McCain wants to have a fill the US with unwanted child policy where a pregnant woman regardless of their circumstance should not go for an abortion. Obama wants to have a <pro-choice> policy where a pregnant woman can choose whether they want to go for an abortion or not. Being a female who don't think that my government should be telling me what to do with my body, I choose Obama as the next POTUS. ",1,politics,pro-choice,always_euph
pass away,"The final victory over death and evil is already won-- it is His victory. However, until that final victory is realized in the fullness of time, we are left to engage in @ @ @ @ @ @ @ @ @ @ speak the words in today's Gospel to bring us to despair; He spoke them to equip us with fortitude and the consolation we need to persevere, trusting in His Holy Word which shall never <pass away>. ",0,death,pass away,sometimes_euph
collateral damage,"Well-- this could be GREAT feed for a conspiracy grinder (am feeling mischievous this AM)-- Orhodox economics, obviously BS, nobody can really push it with a straight face much longer, but the! % really needs it-- So must scream TINA, but as safeguard must make sure TI, in fact, NA. Can't be too obvious-- i.e. just fire Keen, so get rid of whole Dept. with Keen as ""<collateral damage>"". And then to top it off, get rid of Italian and Spanish Dept.s so no one can read the reports of what's REALLY happening in @ @ @ @ @ @ @ @ @ @ conclusion (do they even HAVE a Greek Dept.?) ",0,death,collateral damage,sometimes_euph
lay off,No? Then <lay off> and stop cross-examining. Trust that the facts will emerge in time.,0,employment,lay off,sometimes_euph
deceased,"Q: Ok, what about my <deceased> (spouse, parent, sibling, dog, etc.?) A: That's one of the nice things about this concept. The fund is not just limited to the @ @ @ @ @ @ @ @ @ @. ",1,death,deceased,always_euph
late,"Mace's book is illustrated with sketches by the <late> Joseph Astarita, of Brooklyn, N.Y., a fellow civilian construction worker listed among the Morrison-Knudsen crew who became a POW along with Mace. @ @ @ @ @ @ @ @ @ @ 1947, documented the battle for Wake Island, including the Japanese capture of the Americans and the transfer of the survivors by prison ship. ",1,death,late,sometimes_euph
late,"What: With normalcy slowly returning to the St. Louis Cardinals, Dean Hancock, the father of <late> pitcher Josh Hancock, filed a lawsuit Thursday, claiming the restaurant continued serving his son even after he was intoxicated. Dean Hancock, right, also claims the driver of the tow truck his son hit and the driver of the @ @ @ @ @ @ @ @ @ @ disabled vehicle more swiftly. ",1,death,late,sometimes_euph
slim,"The ballots represented the last chance for toll opponents to defeat the renewal, which had been holding on to a <slim> eight-vote lead after last Tuesday's election, and the counting of similar ballots in @ @ @ @ @ @ @ @ @ @ votes from 20 of the absentee ballots because the remaining dozen did not include a vote on the toll renewal. ",0,physical/mental attributes,slim,sometimes_euph
correctional facility,"Monk is at home making breakfast and watching a news broadcast about an escaped prisoner, Joe Endicott, who murdered a woman during his getaway from the Bayside <Correctional Facility>. Monk hears a noise in the next room and goes for his gun but is unable to get the lockbox open. ",1,employment,correctional facility,always_euph
venereal disease,"The pair then allegedly went to Humphries' hotel room at The Thompson where they had unprotected sex. The court documents state the two' had sexual intercourse more than once' and' Defendant Humphries did not at any time inform Plaintiff that he was infected with the incurable <venereal disease>, Herpes Simplex Virus.' ",1,sexual activity,venereal disease,always_euph
ethnic cleansing,"In reality, the Israeli offensive against the Palestinians intensified. """" Our Roots Are Still Alive,"" by the Peoples Press Palestine Book Project. <Ethnic cleansing> of the Arab population of Palestine ",1,death,ethnic cleansing,always_euph
sanitation workers,"Sunil Yadav, a sanitation worker and a PhD fellow from TISS, said, ""Everyday <sanitation workers> get exposed to deadly trash but no special training or guidance is provided to them on how to handle trash."" According to the New England Journal of Medicinestudy, the coronavirus can survive on plastic and stainless steel for up to 72 hours, and on cardboard for up to 24 hours. Nobody knows what kind of waste material is disposed off in dustbins and trash bags. ",1,employment,sanitation worker,always_euph
pass on,"It could also cause sudden brain death @ @ @ @ @ @ @ @ @ @ the brain simultaneously by draining all potential energy there. In addition to this, it is possible that it causes a person's soul to ""<pass on>"", and leave the body, similar to when the body dies naturally, and the soul passes on into whatever afterlife there may be. ",1,death,pass on,sometimes_euph
special needs,"<Special needs> trusts and supplemental needs trust are very different from ordinary trusts. A more typical trust gives the trustee the power to make distributions to or on behalf of the beneficiary for the beneficiary's health, education, maintenance, and support.",0,physical/mental attributes,special needs,sometimes_euph
freedom fighters,"But never mind those pesky facts and stuff; he's still some kind of hero/icon to the tin foil hat wearers. Obama inherits a hornet's nest of angry religious zealots, dangerous folks that that the neocons themselves have stirred up for 50 years or so (anyone recall Reagan arming ""the valiant <freedom fighters> in Afghanistan"" aka "" the Taliban?) Because I do, just like it was yesterday. Now four (4) people die and a sitting president is instantly branded a Muslim traitor before the blood is even dried. ",1,politics,freedom fighter,always_euph
exterminate,"I'm now convinced that my friend, lawyer Gary Welsh of Advance Indiana, who has excellent instincts, was correct. @ @ @ @ @ @ @ @ @ @ link from a comment at the bottom which took me to a series of Youtube videos connected to one Alan Sabrosky trying to blame 9-11 on Israel and the Jews. His credentials are apparently well connected and the commenters following him wish to <exterminate> the jews. He is also said to be a Jewish ex marine and former director of the army war college. ",1,politics,exterminate,sometimes_euph
economical,"Yes @ @ @ @ @ @ @ @ @ @ pointless; The Wire must be seen, heard, and absorbed to fully appreciate the way in which over 40 characters are flawlessly incorporated into a sprawling but tightly disciplined plot that deals, in the larger sense, with the deindustrialization of America and the struggle of longshoremen in a changing <economical> climate. Offering a privileged and occasionally frightening glimpse of the inner workings of shipping ports and cargo transports",0,employment,economical,sometimes_euph
expecting,"Networking giant Cisco Systems (NASDAQ: CSCO) is set to release earnings after Tuesday's close on November 13, and while the company is expected to meet estimates, analysts are <expecting> a pessimistic outlook from company CEO John Chambers. Continued economic weakness in Europe and new threats to Cisco's technological dominance are primary drivers of the concern that has led to the stock selling off a few percent over the last five days. ",0,physical/mental attributes,expecting,sometimes_euph
slept with,"Good God. Yet every gay guy in Austin knew someone, always a friend of a friend, who definitely <slept with> the governor. At one party, I had one gay guy swear Perry was a top and one gay guy swear he was a bottom. ",1,sexual activity,sleep with,sometimes_euph
mixed up,"I am no youngster but still learning and one of the most important discipline i have been learning from being an orgoniteer-your thoughts create actions so keep them positive. @ @ @ @ @ @ @ @ @ @ able warrior. SoI do get time a little <mixed up> but I think, come march will be my second year? From the Art of Soaring book (that I found through this forum)-that I can ""change my luck"" so to speak by renaming myself the most ridiculous funny things and singing and dancing and not giving ANY energy to what others might think-what others might think about me could become the biggest prison ever! ",0,physical/mental attributes,mixed up,sometimes_euph
global south,"Not likely!! It hasn't engaged many people that I know from the <global south>. 2. Lacking a visionary quality is very serious on a practical level too, as it fails to hit the sweat spot and the Achilles heal of change. ",1,politics,global south,always_euph
collateral damage,"Alas, it's one quite unlikely to go away because the overwhelming majority of Americans @ @ @ @ @ @ @ @ @ @ off our streets and out of our neighborhoods and into walled communities where people regarded as little more than vicious animals are housed. That they face a good chance of being raped while there is variously seen as fodder for jokes, the wicked getting their just desserts, or <collateral damage>. It's virtually inconceivable that political will to do something about the problem will coalesce any time soon. ",0,death,collateral damage,sometimes_euph
over the hill,I understand I need more education to work on the populace in a hospital setting... (this is me talking for the benefit of the discussion ).. but as a 54yo with COPD issues ( I'm not dropping over dead-yet )-- but to go further into debt ( GI-Bill educations still cost you $ ) without a promise of work-- FU capitalists-- I'm <over the hill> and I lived the dream-- and thank you for the opportunity to live and to rant-- but take care of your own dad.. ( or draft me ) ( wait can I end up in jail for complications ) ( forget that stupid draft idea),1,physical/mental attributes,over the hill,sometimes_euph
disabled,"When, during the speech, he belted out ""All Americans, male or female, young and not so young, black or white or hispanic or asian, gay or straight, <disabled> and not disabled"" I thought it was impossible. It's an action hero speech, a rah rah we defeated the aliens @ @ @ @ @ @ @ @ @ @ say that. ",1,physical/mental attributes,disabled,sometimes_euph
disabled,She can't tell anyone. She sits back and watches as their <disabled> teenage son idolizes Walt's coolness and simultaneously @ @ @ @ @ @ @ @ @ @ result of her oft-understandable protectiveness.,1,physical/mental attributes,disabled,sometimes_euph
dismissed,"Ultimately, the book you speak of has been tested over time and still stands. If arguments against it are so compelling, how come the Bible hasn't been totally <dismissed>? You have to start pointing fingers and say the people who believe it are insane etc. ",0,employment,dismissed,sometimes_euph
troubled,"Lucky for us, he's not alone.... supported by a very strong cast... typical for a Spielberg epic. Sally Field is Lincoln's <troubled> wife Mary Todd Lincoln, who is dealing with the impact of years of political struggle, the war, and the lasting affects of a carriage accident. David Strathairn is Lincoln @ @ @ @ @ @ @ @ @ @ who wants to be the voice of political reason. ",1,physical/mental attributes,troubled,sometimes_euph
special needs,"And for that reason, there's a special person who comes to me and asks for a puppy. Its someone who has weighed the pros and cons and has decided that a shelter dog just isn't right for their growing family, <special needs> child, older parent, or active jogger. Its the same reason that not every one drives a Dodge Neon. ",1,physical/mental attributes,special needs,sometimes_euph
